,File Date,period_start,period_end,days_in_period,District,outcode,lifecycle_status,business_sector,business_count,annual_gross_br,annual_net_br,prorata_net_br
0,2023-07-01,2022-07-01,2023-07-01,366,Craven,BD20,Active,Hospitality,9,80438.8,63996.75,64172.083561643834
1,2023-07-01,2022-07-01,2023-07-01,366,Craven,BD20,Active,Industrial,39,750940.55,707178.25,709115.7246575344
2,2023-07-01,2022-07-01,2023-07-01,366,Craven,BD20,Active,Office,12,74725.25,51397.0,51537.81369863014
3,2023-07-01,2022-07-01,2023-07-01,366,Craven,BD20,Active,Other,10,116524.28700000001,106562.75000000001,106854.70273972604
4,2023-07-01,2022-07-01,2023-07-01,366,Craven,BD20,Active,Public & Utilities,6,33607.65,12100.75,12133.902739726027
5,2023-07-01,2022-07-01,2023-07-01,366,Craven,BD20,Active,Retail,56,620324.88,524956.0,526394.2356164383
6,2023-07-01,2022-07-01,2023-07-01,366,Craven,BD20,Closed Business,Other,2,13348.25,8233.5,8256.057534246576
7,2023-07-01,2022-07-01,2023-07-01,366,Craven,BD20,New Opening,Industrial,1,19336.25,19336.25,9535.68493150685
8,2023-07-01,2022-07-01,2023-07-01,366,Craven,BD20,New Opening,Office,1,3343.3,0.0,0.0
9,2023-07-01,2022-07-01,2023-07-01,366,Craven,BD20,New Opening,Retail,4,99826.75,94836.75,65223.65753424657
10,2023-07-01,2022-07-01,2023-07-01,366,Craven,BD22,Active,Hospitality,2,4890.2,0.0,0.0
11,2023-07-01,2022-07-01,2023-07-01,366,Craven,BD22,Active,Industrial,1,3692.6,0.0,0.0
12,2023-07-01,2022-07-01,2023-07-01,366,Craven,BD22,Active,Other,1,1596.8,0.0,0.0
13,2023-07-01,2022-07-01,2023-07-01,366,Craven,BD22,Active,Public & Utilities,6,31661.55,7859.25,7880.782191780822
14,2023-07-01,2022-07-01,2023-07-01,366,Craven,BD22,Active,Retail,3,10903.15,0.0,0.0
15,2023-07-01,2022-07-01,2023-07-01,366,Craven,BD22,Closed Business,Other,1,3942.1,0.0,0.0
16,2023-07-01,2022-07-01,2023-07-01,366,Craven,BD23,Active,Hospitality,97,1746646.9500000002,1615846.5750000002,1620273.5519178084
17,2023-07-01,2022-07-01,2023-07-01,366,Craven,BD23,Active,Industrial,122,2545818.45,2395544.6,2402107.7358904113
18,2023-07-01,2022-07-01,2023-07-01,366,Craven,BD23,Active,Leisure,16,169297.2,152680.5,153098.80273972603
19,2023-07-01,2022-07-01,2023-07-01,366,Craven,BD23,Active,Office,129,1321620.435,1066848.5,1069771.3726027398
20,2023-07-01,2022-07-01,2023-07-01,366,Craven,BD23,Active,Other,59,934308.74,875297.0,877695.0739726027
21,2023-07-01,2022-07-01,2023-07-01,366,Craven,BD23,Active,Public & Utilities,37,252366.30000000002,151593.25,152008.57397260275
22,2023-07-01,2022-07-01,2023-07-01,366,Craven,BD23,Active,Retail,228,3179398.17,2800517.45,2808190.100547945
23,2023-07-01,2022-07-01,2023-07-01,366,Craven,BD23,Closed Business,Other,39,487319.9,431881.0,433064.2356164384
24,2023-07-01,2022-07-01,2023-07-01,366,Craven,BD23,New Opening,Hospitality,7,82363.9,70837.0,53904.43698630137
25,2023-07-01,2022-07-01,2023-07-01,366,Craven,BD23,New Opening,Industrial,1,2594.8,0.0,0.0
26,2023-07-01,2022-07-01,2023-07-01,366,Craven,BD23,New Opening,Office,8,74974.75,58632.5,52358.087671232875
27,2023-07-01,2022-07-01,2023-07-01,366,Craven,BD23,New Opening,Other,1,269.46,0.0,0.0
28,2023-07-01,2022-07-01,2023-07-01,366,Craven,BD23,New Opening,Retail,21,172074.2,130133.25,81925.74931506849
